leaveid,employeeid,leavetype,startdate,enddate,days,leave_year,leave_month,leave_quarter,leave_day_of_week,leave_month_name,calculated_days,leave_duration_category,is_sick_leave,is_vacation,is_personal,is_maternity_paternity,total_leave_days,leave_count,avg_leave_duration,sick_leave_count,vacation_count,personal_leave_count,maternity_paternity_count,prev_leave_end,days_since_last_leave,leave_sequence,season,starts_on_weekend,starts_on_monday,starts_on_friday
LEAVE-2396,PNR-1480,Sick Leave,2024-10-25,2024-10-25,1.0,2024,10,4,Friday,October,1,Single Day,1,0,0,0,13.0,3,4.3,2,1,0,0,2021-12-01,1059.0,3,Fall,0,0,1
LEAVE-2404,PNR-1481,Personal Leave,2018-12-03,2018-12-07,5.0,2018,12,4,Monday,December,5,Medium (4-7 days),0,0,1,0,13.0,4,3.2,0,1,1,2,,,1,Winter,0,1,0
LEAVE-2401,PNR-1481,Maternity/Paternity,2022-03-03,2022-03-07,5.0,2022,3,1,Thursday,March,5,Medium (4-7 days),0,0,0,1,13.0,4,3.2,0,1,1,2,2018-12-07,1182.0,2,Spring,0,0,0
 LEAVE-2403 ,PNR-1481,Vacation,2023-07-01,2023-07-02,2.0,2023,7,3,Saturday,July,2,Short (2-3 days),0,1,0,0,13.0,4,3.2,0,1,1,2,2022-03-07,481.0,3,Summer,1,0,0
LEAVE-2405,PNR-1481,Maternity/Paternity,2023-11-23,2023-11-23,1.0,2023,11,4,Thursday,November,1,Single Day,0,0,0,1,13.0,4,3.2,0,1,1,2,2023-07-02,144.0,4,Fall,0,0,0
LEAVE-2410,PNR-1482,Vacation,2021-10-30,2021-11-03,5.0,2021,10,4,Saturday,October,5,Medium (4-7 days),0,1,0,0,33.0,5,6.6,0,2,1,2,,,1,Fall,1,0,0
LEAVE-2407,PNR-1482,Maternity/Paternity,2023-09-03,2023-09-07,5.0,2023,9,3,Sunday,September,5,Medium (4-7 days),0,0,0,1,33.0,5,6.6,0,2,1,2,2021-11-03,669.0,2,Fall,1,0,0
LEAVE-2408,PNR-1482,Maternity/Paternity,2023-11-19,2023-11-28,10.0,2023,11,4,Sunday,November,10,Long (8-14 days),0,0,0,1,33.0,5,6.6,0,2,1,2,2023-09-07,73.0,3,Fall,1,0,0
LEAVE-2409,PNR-1482,Vacation,2023-11-29,2023-12-01,3.0,2023,11,4,Wednesday,November,3,Short (2-3 days),0,1,0,0,33.0,5,6.6,0,2,1,2,2023-11-28,1.0,4,Fall,0,0,0
LEAVE-2406,PNR-1482,Personal Leave,2025-10-19,2025-10-28,10.0,2025,10,4,Sunday,October,10,Long (8-14 days),0,0,1,0,33.0,5,6.6,0,2,1,2,2023-12-01,688.0,5,Fall,1,0,0
LEAVE-2412,PNR-1483,Personal Leave,2018-07-12,2018-07-12,1.0,2018,7,3,Thursday,July,1,Single Day,0,0,1,0,6.0,3,2.0,1,0,1,1,,,1,Summer,0,0,0
LEAVE-2411,PNR-1483,Maternity/Paternity,2021-02-23,2021-02-25,3.0,2021,2,1,Tuesday,February,3,Short (2-3 days),0,0,0,1,6.0,3,2.0,1,0,1,1,2018-07-12,957.0,2,Winter,0,0,0
LEAVE-2414,PNR-1483,Sick Leave,2024-08-23,2024-08-24,2.0,2024,8,3,Friday,August,2,Short (2-3 days),1,0,0,0,6.0,3,2.0,1,0,1,1,2021-02-25,1275.0,3,Summer,0,0,1
LEAVE-2417,PNR-1484,Unknown,2020-06-26,2020-07-05,10.0,2020,6,2,Friday,June,10,Long (8-14 days),0,0,0,0,20.0,4,5.0,2,0,1,0,,,1,Summer,0,0,1
LEAVE-2419,PNR-1484,Personal Leave,2020-09-17,2020-09-18,2.0,2020,9,3,Thursday,September,2,Short (2-3 days),0,0,1,0,20.0,4,5.0,2,0,1,0,2020-07-05,74.0,2,Fall,0,0,0
LEAVE-2416,PNR-1484,Sick Leave,2023-09-25,2023-09-29,5.0,2023,9,3,Monday,September,5,Medium (4-7 days),1,0,0,0,20.0,4,5.0,2,0,1,0,2020-09-18,1102.0,3,Fall,0,1,0
LEAVE-2418,PNR-1484,Sick Leave,2023-10-28,2023-10-30,3.0,2023,10,4,Saturday,October,3,Short (2-3 days),1,0,0,0,20.0,4,5.0,2,0,1,0,2023-09-29,29.0,4,Fall,1,0,0
LEAVE-2425,PNR-1485,Maternity/Paternity,2019-06-11,2019-06-20,10.0,2019,6,2,Tuesday,June,10,Long (8-14 days),0,0,0,1,19.0,5,3.8,2,0,0,3,,,1,Summer,0,0,0
LEAVE-2422,PNR-1485,Sick Leave,2019-08-02,2019-08-04,3.0,2019,8,3,Friday,August,3,Short (2-3 days),1,0,0,0,19.0,5,3.8,2,0,0,3,2019-06-20,43.0,2,Summer,0,0,1
LEAVE-2424,PNR-1485,Maternity/Paternity,2019-09-10,2019-09-10,1.0,2019,9,3,Tuesday,September,1,Single Day,0,0,0,1,19.0,5,3.8,2,0,0,3,2019-08-04,37.0,3,Fall,0,0,0
LEAVE-10060,PNR-1485,Sick Leave,2020-11-25,2020-11-27,3.0,2020,11,4,Wednesday,November,3,Short (2-3 days),1,0,0,0,19.0,5,3.8,2,0,0,3,2019-09-10,442.0,4,Fall,0,0,0
LEAVE-2421,PNR-1485,Maternity/Paternity,2022-11-25,2022-11-26,2.0,2022,11,4,Friday,November,2,Short (2-3 days),0,0,0,1,19.0,5,3.8,2,0,0,3,2020-11-27,728.0,5,Fall,0,0,1
LEAVE-2426,PNR-1486,Unknown,2023-01-23,2023-01-27,5.0,2023,1,1,Monday,January,5,Medium (4-7 days),0,0,0,0,19.0,4,4.8,0,0,2,1,,,1,Winter,0,1,0
LEAVE-2429,PNR-1486,Personal Leave,2024-02-04,2024-02-06,3.0,2024,2,1,Sunday,February,3,Short (2-3 days),0,0,1,0,19.0,4,4.8,0,0,2,1,2023-01-27,373.0,2,Winter,1,0,0
LEAVE-2430,PNR-1486,Personal Leave,2025-01-29,2025-02-07,10.0,2025,1,1,Wednesday,January,10,Long (8-14 days),0,0,1,0,19.0,4,4.8,0,0,2,1,2024-02-06,358.0,3,Winter,0,0,0
LEAVE-2427,PNR-1486,Maternity/Paternity,2025-02-17,2025-02-17,1.0,2025,2,1,Monday,February,1,Single Day,0,0,0,1,19.0,4,4.8,0,0,2,1,2025-02-07,10.0,4,Winter,0,1,0
LEAVE-2435,PNR-1487,Maternity/Paternity,2018-02-25,2018-03-01,5.0,2018,2,1,Sunday,February,5,Medium (4-7 days),0,0,0,1,15.0,4,3.8,1,1,0,2,,,1,Winter,1,0,0
LEAVE-2434,PNR-1487,Sick Leave,2023-08-17,2023-08-21,5.0,2023,8,3,Thursday,August,5,Medium (4-7 days),1,0,0,0,15.0,4,3.8,1,1,0,2,2018-03-01,1995.0,2,Summer,0,0,0
LEAVE-2431,PNR-1487,Vacation,2023-12-17,2023-12-19,3.0,2023,12,4,Sunday,December,3,Short (2-3 days),0,1,0,0,15.0,4,3.8,1,1,0,2,2023-08-21,118.0,3,Winter,1,0,0
LEAVE-2432,PNR-1487,Maternity/Paternity,2024-02-15,2024-02-16,2.0,2024,2,1,Thursday,February,2,Short (2-3 days),0,0,0,1,15.0,4,3.8,1,1,0,2,2023-12-19,58.0,4,Winter,0,0,0
LEAVE-2440,PNR-1488,Personal Leave,2021-10-01,2021-10-02,2.0,2021,10,4,Friday,October,2,Short (2-3 days),0,0,1,0,5.0,3,1.7,2,0,1,0,,,1,Fall,0,0,1
LEAVE-2438,PNR-1488,Sick Leave,2023-07-15,2023-07-16,2.0,2023,7,3,Saturday,July,2,Short (2-3 days),1,0,0,0,5.0,3,1.7,2,0,1,0,2021-10-02,651.0,2,Summer,1,0,0
LEAVE-2436,PNR-1488,Sick Leave,2024-06-11,2024-06-11,1.0,2024,6,2,Tuesday,June,1,Single Day,1,0,0,0,5.0,3,1.7,2,0,1,0,2023-07-16,331.0,3,Summer,0,0,0
LEAVE-2442,PNR-1489,Vacation,2018-10-15,2018-10-15,1.0,2018,10,4,Monday,October,1,Single Day,0,1,0,0,12.0,4,3.0,1,1,2,0,,,1,Fall,0,1,0
LEAVE-2445,PNR-1489,Personal Leave,2020-10-27,2020-10-27,1.0,2020,10,4,Tuesday,October,1,Single Day,0,0,1,0,12.0,4,3.0,1,1,2,0,2018-10-15,743.0,2,Fall,0,0,0
LEAVE-2441,PNR-1489,Personal Leave,2021-03-20,2021-03-24,5.0,2021,3,1,Saturday,March,5,Medium (4-7 days),0,0,1,0,12.0,4,3.0,1,1,2,0,2020-10-27,144.0,3,Spring,1,0,0
LEAVE-2444,PNR-1489,Sick Leave,2025-01-22,2025-01-26,5.0,2025,1,1,Wednesday,January,5,Medium (4-7 days),1,0,0,0,12.0,4,3.0,1,1,2,0,2021-03-24,1400.0,4,Winter,0,0,0
LEAVE-2449,PNR-1490,Vacation,2018-11-16,2018-11-16,1.0,2018,11,4,Friday,November,1,Single Day,0,1,0,0,13.0,4,3.2,2,1,1,0,,,1,Fall,0,0,1
LEAVE-2447,PNR-1490,Personal Leave,2020-01-17,2020-01-17,1.0,2020,1,1,Friday,January,1,Single Day,0,0,1,0,13.0,4,3.2,2,1,1,0,2018-11-16,427.0,2,Winter,0,0,1
LEAVE-2446,PNR-1490,Sick Leave,2020-04-18,2020-04-18,1.0,2020,4,2,Saturday,April,1,Single Day,1,0,0,0,13.0,4,3.2,2,1,1,0,2020-01-17,92.0,3,Spring,1,0,0
LEAVE-2450,PNR-1490,Sick Leave,2024-02-27,2024-03-07,10.0,2024,2,1,Tuesday,February,10,Long (8-14 days),1,0,0,0,13.0,4,3.2,2,1,1,0,2020-04-18,1410.0,4,Winter,0,0,0
LEAVE-2454,PNR-1491,Vacation,2022-10-17,2022-10-19,3.0,2022,10,4,Monday,October,3,Short (2-3 days),0,1,0,0,25.0,5,5.0,0,3,2,0,,,1,Fall,0,1,0
LEAVE-10061,PNR-1491,Personal Leave,2024-02-01,2024-02-10,10.0,2024,2,1,Thursday,February,10,Long (8-14 days),0,0,1,0,25.0,5,5.0,0,3,2,0,2022-10-19,470.0,2,Winter,0,0,0
LEAVE-2452,PNR-1491,Vacation,2025-02-18,2025-02-22,5.0,2025,2,1,Tuesday,February,5,Medium (4-7 days),0,1,0,0,25.0,5,5.0,0,3,2,0,2024-02-10,374.0,3,Winter,0,0,0
LEAVE-2452,PNR-1491,Vacation,2025-02-18,2025-02-22,5.0,2025,2,1,Tuesday,February,5,Medium (4-7 days),0,1,0,0,25.0,5,5.0,0,3,2,0,2025-02-22,-4.0,4,Winter,0,0,0
LEAVE-2455,PNR-1491,Personal Leave,2025-07-14,2025-07-15,2.0,2025,7,3,Monday,July,2,Short (2-3 days),0,0,1,0,25.0,5,5.0,0,3,2,0,2025-02-22,142.0,5,Summer,0,1,0
LEAVE-2457,PNR-1492,Maternity/Paternity,2018-11-10,2018-11-14,5.0,2018,11,4,Saturday,November,5,Medium (4-7 days),0,0,0,1,12.0,5,2.4,1,1,0,3,,,1,Fall,1,0,0
LEAVE-2458,PNR-1492,Sick Leave,2019-05-11,2019-05-11,1.0,2019,5,2,Saturday,May,1,Single Day,1,0,0,0,12.0,5,2.4,1,1,0,3,2018-11-14,178.0,2,Spring,1,0,0
LEAVE-2456,PNR-1492,Maternity/Paternity,2019-08-04,2019-08-05,2.0,2019,8,3,Sunday,August,2,Short (2-3 days),0,0,0,1,12.0,5,2.4,1,1,0,3,2019-05-11,85.0,3,Summer,1,0,0
LEAVE-2459,PNR-1492,Vacation,2023-02-09,2023-02-11,3.0,2023,2,1,Thursday,February,3,Short (2-3 days),0,1,0,0,12.0,5,2.4,1,1,0,3,2019-08-05,1284.0,4,Winter,0,0,0
 LEAVE-2460 ,PNR-1492,Maternity/Paternity,2023-05-19,2023-05-19,1.0,2023,5,2,Friday,May,1,Single Day,0,0,0,1,12.0,5,2.4,1,1,0,3,2023-02-11,97.0,5,Spring,0,0,1
LEAVE-2462,PNR-1493,Maternity/Paternity,2018-08-25,2018-08-29,5.0,2018,8,3,Saturday,August,5,Medium (4-7 days),0,0,0,1,12.0,4,3.0,0,1,2,1,,,1,Summer,1,0,0
LEAVE-2465,PNR-1493,Personal Leave,2024-11-22,2024-11-23,2.0,2024,11,4,Friday,November,2,Short (2-3 days),0,0,1,0,12.0,4,3.0,0,1,2,1,2018-08-29,2277.0,2,Fall,0,0,1
LEAVE-2465,PNR-1493,Personal Leave,2024-11-22,2024-11-23,2.0,2024,11,4,Friday,November,2,Short (2-3 days),0,0,1,0,12.0,4,3.0,0,1,2,1,2024-11-23,-1.0,3,Fall,0,0,1
LEAVE-2463,PNR-1493,Vacation,2025-06-01,2025-06-03,3.0,2025,6,2,Sunday,June,3,Short (2-3 days),0,1,0,0,12.0,4,3.0,0,1,2,1,2024-11-23,190.0,4,Summer,1,0,0
LEAVE-2470,PNR-1494,Vacation,2018-12-24,2019-01-02,10.0,2018,12,4,Monday,December,10,Long (8-14 days),0,1,0,0,16.0,3,5.3,0,1,0,1,,,1,Winter,0,1,0
LEAVE-2467,PNR-1494,Unknown,2021-11-19,2021-11-23,5.0,2021,11,4,Friday,November,5,Medium (4-7 days),0,0,0,0,16.0,3,5.3,0,1,0,1,2019-01-02,1052.0,2,Fall,0,0,1
LEAVE-2468,PNR-1494,Maternity/Paternity,2024-12-25,2024-12-25,1.0,2024,12,4,Wednesday,December,1,Single Day,0,0,0,1,16.0,3,5.3,0,1,0,1,2021-11-23,1128.0,3,Winter,0,0,0
LEAVE-2471,PNR-1495,Unknown,2018-02-12,2018-02-16,5.0,2018,2,1,Monday,February,5,Medium (4-7 days),0,0,0,0,13.0,5,2.6,0,1,2,1,,,1,Winter,0,1,0
LEAVE-2474,PNR-1495,Personal Leave,2018-04-26,2018-04-28,3.0,2018,4,2,Thursday,April,3,Short (2-3 days),0,0,1,0,13.0,5,2.6,0,1,2,1,2018-02-16,69.0,2,Spring,0,0,0
LEAVE-2472,PNR-1495,Maternity/Paternity,2019-04-19,2019-04-19,1.0,2019,4,2,Friday,April,1,Single Day,0,0,0,1,13.0,5,2.6,0,1,2,1,2018-04-28,356.0,3,Spring,0,0,1
LEAVE-2475,PNR-1495,Personal Leave,2022-07-13,2022-07-13,1.0,2022,7,3,Wednesday,July,1,Single Day,0,0,1,0,13.0,5,2.6,0,1,2,1,2019-04-19,1181.0,4,Summer,0,0,0
LEAVE-2473,PNR-1495,Vacation,2025-06-24,2025-06-26,3.0,2025,6,2,Tuesday,June,3,Short (2-3 days),0,1,0,0,13.0,5,2.6,0,1,2,1,2022-07-13,1077.0,5,Summer,0,0,0
LEAVE-2476,PNR-1496,Maternity/Paternity,2018-08-15,2018-08-17,3.0,2018,8,3,Wednesday,August,3,Short (2-3 days),0,0,0,1,7.0,3,2.3,0,1,1,1,,,1,Summer,0,0,0
 LEAVE-2479 ,PNR-1496,Personal Leave,2019-10-29,2019-10-31,3.0,2019,10,4,Tuesday,October,3,Short (2-3 days),0,0,1,0,7.0,3,2.3,0,1,1,1,2018-08-17,438.0,2,Fall,0,0,0
LEAVE-2478,PNR-1496,Vacation,2023-06-21,2023-06-21,1.0,2023,6,2,Wednesday,June,1,Single Day,0,1,0,0,7.0,3,2.3,0,1,1,1,2019-10-31,1329.0,3,Summer,0,0,0
LEAVE-2481,PNR-1497,Vacation,2023-02-15,2023-02-24,10.0,2023,2,1,Wednesday,February,10,Long (8-14 days),0,1,0,0,25.0,4,6.2,2,2,0,0,,,1,Winter,0,0,0
LEAVE-2481,PNR-1497,Vacation,2023-02-15,2023-02-24,10.0,2023,2,1,Wednesday,February,10,Long (8-14 days),0,1,0,0,25.0,4,6.2,2,2,0,0,2023-02-24,-9.0,2,Winter,0,0,0
LEAVE-2485,PNR-1497,Sick Leave,2023-10-06,2023-10-07,2.0,2023,10,4,Friday,October,2,Short (2-3 days),1,0,0,0,25.0,4,6.2,2,2,0,0,2023-02-24,224.0,3,Fall,0,0,1
LEAVE-2483,PNR-1497,Sick Leave,2024-05-14,2024-05-16,3.0,2024,5,2,Tuesday,May,3,Short (2-3 days),1,0,0,0,25.0,4,6.2,2,2,0,0,2023-10-07,220.0,4,Spring,0,0,0
LEAVE-2490,PNR-1498,Sick Leave,2019-06-21,2019-06-23,3.0,2019,6,2,Friday,June,3,Short (2-3 days),1,0,0,0,9.0,4,2.2,1,0,3,0,,,1,Summer,0,0,1
LEAVE-2487,PNR-1498,Personal Leave,2022-12-08,2022-12-09,2.0,2022,12,4,Thursday,December,2,Short (2-3 days),0,0,1,0,9.0,4,2.2,1,0,3,0,2019-06-23,1264.0,2,Winter,0,0,0
LEAVE-2489,PNR-1498,Personal Leave,2025-03-23,2025-03-23,1.0,2025,3,1,Sunday,March,1,Single Day,0,0,1,0,9.0,4,2.2,1,0,3,0,2022-12-09,835.0,3,Spring,1,0,0
LEAVE-2486,PNR-1498,Personal Leave,2025-09-04,2025-09-06,3.0,2025,9,3,Thursday,September,3,Short (2-3 days),0,0,1,0,9.0,4,2.2,1,0,3,0,2025-03-23,165.0,4,Fall,0,0,0
LEAVE-2494,PNR-1499,Maternity/Paternity,2021-11-07,2021-11-08,2.0,2021,11,4,Sunday,November,2,Short (2-3 days),0,0,0,1,5.0,2,2.5,1,0,0,1,,,1,Fall,1,0,0
LEAVE-2492,PNR-1499,Sick Leave,2025-05-03,2025-05-05,3.0,2025,5,2,Saturday,May,3,Short (2-3 days),1,0,0,0,5.0,2,2.5,1,0,0,1,2021-11-08,1272.0,2,Spring,1,0,0
LEAVE-2497,PNR-1500,Sick Leave,2020-01-03,2020-01-12,10.0,2020,1,1,Friday,January,10,Long (8-14 days),1,0,0,0,22.0,4,5.5,2,0,0,1,,,1,Winter,0,0,1
LEAVE-2499,PNR-1500,Sick Leave,2021-12-28,2021-12-28,1.0,2021,12,4,Tuesday,December,1,Single Day,1,0,0,0,22.0,4,5.5,2,0,0,1,2020-01-12,716.0,2,Winter,0,0,0
LEAVE-2498,PNR-1500,Unknown,2022-09-23,2022-10-02,10.0,2022,9,3,Friday,September,10,Long (8-14 days),0,0,0,0,22.0,4,5.5,2,0,0,1,2021-12-28,269.0,3,Fall,0,0,1
LEAVE-2496,PNR-1500,Maternity/Paternity,2023-03-17,2023-03-17,1.0,2023,3,1,Friday,March,1,Single Day,0,0,0,1,22.0,4,5.5,2,0,0,1,2022-10-02,166.0,4,Spring,0,0,1
LEAVE-2505,PNR-1501,Maternity/Paternity,2018-12-09,2018-12-11,3.0,2018,12,4,Sunday,December,3,Short (2-3 days),0,0,0,1,13.0,4,3.2,2,0,1,1,,,1,Winter,1,0,0
LEAVE-2501,PNR-1501,Personal Leave,2019-11-11,2019-11-12,2.0,2019,11,4,Monday,November,2,Short (2-3 days),0,0,1,0,13.0,4,3.2,2,0,1,1,2018-12-11,335.0,2,Fall,0,1,0
LEAVE-2502,PNR-1501,Sick Leave,2021-08-15,2021-08-17,3.0,2021,8,3,Sunday,August,3,Short (2-3 days),1,0,0,0,13.0,4,3.2,2,0,1,1,2019-11-12,642.0,3,Summer,1,0,0
LEAVE-2504,PNR-1501,Sick Leave,2025-05-10,2025-05-14,5.0,2025,5,2,Saturday,May,5,Medium (4-7 days),1,0,0,0,13.0,4,3.2,2,0,1,1,2021-08-17,1362.0,4,Spring,1,0,0
LEAVE-2509,PNR-1502,Unknown,2020-11-11,2020-11-20,10.0,2020,11,4,Wednesday,November,10,Long (8-14 days),0,0,0,0,29.0,5,5.8,0,1,1,2,,,1,Fall,0,0,0
LEAVE-2510,PNR-1502,Personal Leave,2021-11-20,2021-11-21,2.0,2021,11,4,Saturday,November,2,Short (2-3 days),0,0,1,0,29.0,5,5.8,0,1,1,2,2020-11-20,365.0,2,Fall,1,0,0
LEAVE-2506,PNR-1502,Maternity/Paternity,2023-07-28,2023-07-29,2.0,2023,7,3,Friday,July,2,Short (2-3 days),0,0,0,1,29.0,5,5.8,0,1,1,2,2021-11-21,614.0,3,Summer,0,0,1
LEAVE-2507,PNR-1502,Vacation,2024-03-18,2024-03-22,5.0,2024,3,1,Monday,March,5,Medium (4-7 days),0,1,0,0,29.0,5,5.8,0,1,1,2,2023-07-29,233.0,4,Spring,0,1,0
LEAVE-2508,PNR-1502,Maternity/Paternity,2025-10-07,2025-10-16,10.0,2025,10,4,Tuesday,October,10,Long (8-14 days),0,0,0,1,29.0,5,5.8,0,1,1,2,2024-03-22,564.0,5,Fall,0,0,0
LEAVE-2513,PNR-1503,Sick Leave,2019-06-07,2019-06-08,2.0,2019,6,2,Friday,June,2,Short (2-3 days),1,0,0,0,15.0,5,3.0,2,0,1,1,,,1,Summer,0,0,1
LEAVE-10062,PNR-1503,Sick Leave,2019-10-10,2019-10-11,2.0,2019,10,4,Thursday,October,2,Short (2-3 days),1,0,0,0,15.0,5,3.0,2,0,1,1,2019-06-08,124.0,2,Fall,0,0,0
LEAVE-2511,PNR-1503,Personal Leave,2020-12-24,2020-12-24,1.0,2020,12,4,Thursday,December,1,Single Day,0,0,1,0,15.0,5,3.0,2,0,1,1,2019-10-11,440.0,3,Winter,0,0,0
LEAVE-2515,PNR-1503,Unknown,2023-04-24,2023-04-28,5.0,2023,4,2,Monday,April,5,Medium (4-7 days),0,0,0,0,15.0,5,3.0,2,0,1,1,2020-12-24,851.0,4,Spring,0,1,0
LEAVE-2514,PNR-1503,Maternity/Paternity,2024-01-24,2024-01-28,5.0,2024,1,1,Wednesday,January,5,Medium (4-7 days),0,0,0,1,15.0,5,3.0,2,0,1,1,2023-04-28,271.0,5,Winter,0,0,0
LEAVE-2518,PNR-1504,Vacation,2018-12-10,2018-12-14,5.0,2018,12,4,Monday,December,5,Medium (4-7 days),0,1,0,0,33.0,5,6.6,0,5,0,0,,,1,Winter,0,1,0
LEAVE-2517,PNR-1504,Vacation,2021-08-10,2021-08-19,10.0,2021,8,3,Tuesday,August,10,Long (8-14 days),0,1,0,0,33.0,5,6.6,0,5,0,0,2018-12-14,970.0,2,Summer,0,0,0
LEAVE-2516,PNR-1504,Vacation,2022-08-26,2022-09-04,10.0,2022,8,3,Friday,August,10,Long (8-14 days),0,1,0,0,33.0,5,6.6,0,5,0,0,2021-08-19,372.0,3,Summer,0,0,1
LEAVE-2519,PNR-1504,Vacation,2023-10-30,2023-11-03,5.0,2023,10,4,Monday,October,5,Medium (4-7 days),0,1,0,0,33.0,5,6.6,0,5,0,0,2022-09-04,421.0,4,Fall,0,1,0
LEAVE-2520,PNR-1504,Vacation,2024-11-27,2024-11-29,3.0,2024,11,4,Wednesday,November,3,Short (2-3 days),0,1,0,0,33.0,5,6.6,0,5,0,0,2023-11-03,390.0,5,Fall,0,0,0
LEAVE-2521,PNR-1505,Sick Leave,2018-12-05,2018-12-06,2.0,2018,12,4,Wednesday,December,2,Short (2-3 days),1,0,0,0,10.0,4,2.5,1,2,0,1,,,1,Winter,0,0,0
LEAVE-2524,PNR-1505,Vacation,2023-06-30,2023-07-01,2.0,2023,6,2,Friday,June,2,Short (2-3 days),0,1,0,0,10.0,4,2.5,1,2,0,1,2018-12-06,1667.0,2,Summer,0,0,1
LEAVE-2525,PNR-1505,Maternity/Paternity,2023-11-18,2023-11-22,5.0,2023,11,4,Saturday,November,5,Medium (4-7 days),0,0,0,1,10.0,4,2.5,1,2,0,1,2023-07-01,140.0,3,Fall,1,0,0
 LEAVE-2523 ,PNR-1505,Vacation,2024-08-11,2024-08-11,1.0,2024,8,3,Sunday,August,1,Single Day,0,1,0,0,10.0,4,2.5,1,2,0,1,2023-11-22,263.0,4,Summer,1,0,0
LEAVE-2528,PNR-1506,Maternity/Paternity,2018-02-21,2018-02-23,3.0,2018,2,1,Wednesday,February,3,Short (2-3 days),0,0,0,1,11.0,4,2.8,0,0,1,2,,,1,Winter,0,0,0
LEAVE-2526,PNR-1506,Personal Leave,2018-05-27,2018-05-28,2.0,2018,5,2,Sunday,May,2,Short (2-3 days),0,0,1,0,11.0,4,2.8,0,0,1,2,2018-02-23,93.0,2,Spring,1,0,0
LEAVE-2527,PNR-1506,Unknown,2021-10-29,2021-11-02,5.0,2021,10,4,Friday,October,5,Medium (4-7 days),0,0,0,0,11.0,4,2.8,0,0,1,2,2018-05-28,1250.0,3,Fall,0,0,1
LEAVE-2530,PNR-1506,Maternity/Paternity,2022-06-19,2022-06-19,1.0,2022,6,2,Sunday,June,1,Single Day,0,0,0,1,11.0,4,2.8,0,0,1,2,2021-11-02,229.0,4,Summer,1,0,0
LEAVE-2532,PNR-1507,Maternity/Paternity,2018-08-17,2018-08-19,3.0,2018,8,3,Friday,August,3,Short (2-3 days),0,0,0,1,31.0,5,6.2,0,0,3,2,,,1,Summer,0,0,1
LEAVE-2531,PNR-1507,Personal Leave,2019-08-14,2019-08-23,10.0,2019,8,3,Wednesday,August,10,Long (8-14 days),0,0,1,0,31.0,5,6.2,0,0,3,2,2018-08-19,360.0,2,Summer,0,0,0
LEAVE-2534,PNR-1507,Maternity/Paternity,2020-07-24,2020-08-02,10.0,2020,7,3,Friday,July,10,Long (8-14 days),0,0,0,1,31.0,5,6.2,0,0,3,2,2019-08-23,336.0,3,Summer,0,0,1
LEAVE-2535,PNR-1507,Personal Leave,2022-01-06,2022-01-10,5.0,2022,1,1,Thursday,January,5,Medium (4-7 days),0,0,1,0,31.0,5,6.2,0,0,3,2,2020-08-02,522.0,4,Winter,0,0,0
LEAVE-2533,PNR-1507,Personal Leave,2023-10-27,2023-10-29,3.0,2023,10,4,Friday,October,3,Short (2-3 days),0,0,1,0,31.0,5,6.2,0,0,3,2,2022-01-10,655.0,5,Fall,0,0,1
LEAVE-2539,PNR-1508,Maternity/Paternity,2022-05-22,2022-05-24,3.0,2022,5,2,Sunday,May,3,Short (2-3 days),0,0,0,1,6.0,3,2.0,0,1,0,2,,,1,Spring,1,0,0
LEAVE-2538,PNR-1508,Maternity/Paternity,2022-08-09,2022-08-09,1.0,2022,8,3,Tuesday,August,1,Single Day,0,0,0,1,6.0,3,2.0,0,1,0,2,2022-05-24,77.0,2,Summer,0,0,0
LEAVE-2536,PNR-1508,Vacation,2024-04-12,2024-04-13,2.0,2024,4,2,Friday,April,2,Short (2-3 days),0,1,0,0,6.0,3,2.0,0,1,0,2,2022-08-09,612.0,3,Spring,0,0,1
LEAVE-2541,PNR-1509,Unknown,2018-05-25,2018-05-27,3.0,2018,5,2,Friday,May,3,Short (2-3 days),0,0,0,0,17.0,5,3.4,1,2,0,1,,,1,Spring,0,0,1
LEAVE-2542,PNR-1509,Sick Leave,2019-02-27,2019-03-03,5.0,2019,2,1,Wednesday,February,5,Medium (4-7 days),1,0,0,0,17.0,5,3.4,1,2,0,1,2018-05-27,276.0,2,Winter,0,0,0
LEAVE-2545,PNR-1509,Vacation,2020-02-22,2020-02-22,1.0,2020,2,1,Saturday,February,1,Single Day,0,1,0,0,17.0,5,3.4,1,2,0,1,2019-03-03,356.0,3,Winter,1,0,0
LEAVE-2543,PNR-1509,Vacation,2021-06-29,2021-07-01,3.0,2021,6,2,Tuesday,June,3,Short (2-3 days),0,1,0,0,17.0,5,3.4,1,2,0,1,2020-02-22,493.0,4,Summer,0,0,0
LEAVE-2544,PNR-1509,Maternity/Paternity,2022-03-21,2022-03-25,5.0,2022,3,1,Monday,March,5,Medium (4-7 days),0,0,0,1,17.0,5,3.4,1,2,0,1,2021-07-01,263.0,5,Spring,0,1,0
LEAVE-2547,PNR-1510,Maternity/Paternity,2019-04-23,2019-04-24,2.0,2019,4,2,Tuesday,April,2,Short (2-3 days),0,0,0,1,25.0,4,6.2,0,2,0,2,,,1,Spring,0,0,0
LEAVE-2548,PNR-1510,Vacation,2022-09-29,2022-10-08,10.0,2022,9,3,Thursday,September,10,Long (8-14 days),0,1,0,0,25.0,4,6.2,0,2,0,2,2019-04-24,1254.0,2,Fall,0,0,0
