recordid,monthend,department,headcount,hires,terminations,attritionrate,year,month,quarter,month_name,net_change,growth_rate,turnover_rate,hire_rate,headcount_3m_avg,hires_3m_avg,terminations_3m_avg,headcount_mom_change,headcount_mom_change_pct,dept_avg_headcount,headcount_category,attrition_risk,has_hires,has_terminations,is_growing,is_shrinking
HC-499,2022-08-30,Human Resources,126,3,2,0.0159,2022,8,3,August,1,0.79,1.59,2.38,125.0,2.7,1.0,1.0,0.8,108.0,Very Large (100+),Low (<5%),1,1,1,0
HC-508,2022-09-29,Human Resources,128,2,0,0.0,2022,9,3,September,2,1.56,0.0,1.56,126.0,2.0,0.7,2.0,1.59,108.0,Very Large (100+),,1,0,1,0
HC-517,2022-10-30,Human Resources,132,5,1,0.0076,2022,10,4,October,4,3.03,0.76,3.79,129.0,3.3,1.0,4.0,3.12,108.0,Very Large (100+),Low (<5%),1,1,1,0
HC-526,2022-11-29,Human Resources,133,1,0,0.0,2022,11,4,November,1,0.75,0.0,0.75,131.0,2.7,0.3,1.0,0.76,108.0,Very Large (100+),,1,0,1,0
HC-535,2022-12-30,Human Resources,136,4,0,0.0,2022,12,4,December,4,2.94,0.0,2.94,134.0,3.3,0.3,3.0,2.26,108.0,Very Large (100+),,1,0,1,0
HC-544,2023-01-30,Human Resources,137,1,1,0.0073,2023,1,1,January,0,0.0,0.73,0.73,135.0,2.0,0.3,1.0,0.74,108.0,Very Large (100+),Low (<5%),1,1,0,0
HC-553,2023-02-27,Human Resources,140,3,0,0.0,2023,2,1,February,3,2.14,0.0,2.14,138.0,2.7,0.3,3.0,2.19,108.0,Very Large (100+),,1,0,1,0
HC-562,2023-03-30,Human Resources,141,1,0,0.0,2023,3,1,March,1,0.71,0.0,0.71,139.0,1.7,0.3,1.0,0.71,108.0,Very Large (100+),,1,0,1,0
HC-571,2023-04-29,Human Resources,142,1,0,0.0,2023,4,2,April,1,0.7,0.0,0.7,141.0,1.7,0.0,1.0,0.71,108.0,Very Large (100+),,1,0,1,0
HC-580,2023-05-30,Human Resources,146,7,2,0.0137,2023,5,2,May,5,3.42,1.37,4.79,143.0,3.0,0.7,4.0,2.82,108.0,Very Large (100+),Low (<5%),1,1,1,0
HC-589,2023-06-29,Human Resources,145,0,2,0.0138,2023,6,2,June,-2,-1.38,1.38,0.0,144.0,2.7,1.3,-1.0,-0.68,108.0,Very Large (100+),Low (<5%),0,1,0,1
HC-598,2023-07-30,Human Resources,148,3,0,0.0,2023,7,3,July,3,2.03,0.0,2.03,146.0,3.3,1.3,3.0,2.07,108.0,Very Large (100+),,1,0,1,0
HC-607,2023-08-30,Human Resources,151,3,0,0.0,2023,8,3,August,3,1.99,0.0,1.99,148.0,2.0,0.7,3.0,2.03,108.0,Very Large (100+),,1,0,1,0
HC-616,2023-09-29,Human Resources,155,4,0,0.0,2023,9,3,September,4,2.58,0.0,2.58,151.0,3.3,0.0,4.0,2.65,108.0,Very Large (100+),,1,0,1,0
HC-625,2023-10-30,Human Resources,160,5,0,0.0,2023,10,4,October,5,3.12,0.0,3.12,155.0,4.0,0.0,5.0,3.23,108.0,Very Large (100+),,1,0,1,0
HC-634,2023-11-29,Human Resources,164,4,0,0.0,2023,11,4,November,4,2.44,0.0,2.44,160.0,4.3,0.0,4.0,2.5,108.0,Very Large (100+),,1,0,1,0
HC-643,2023-12-30,Human Resources,165,1,0,0.0,2023,12,4,December,1,0.61,0.0,0.61,163.0,3.3,0.0,1.0,0.61,108.0,Very Large (100+),,1,0,1,0
HC-652,2024-01-30,Human Resources,165,0,0,0.0,2024,1,1,January,0,0.0,0.0,0.0,165.0,1.7,0.0,0.0,0.0,108.0,Very Large (100+),,0,0,0,0
HC-661,2024-02-28,Human Resources,169,4,0,0.0,2024,2,1,February,4,2.37,0.0,2.37,166.0,1.7,0.0,4.0,2.42,108.0,Very Large (100+),,1,0,1,0
HC-670,2024-03-30,Human Resources,173,4,1,0.0058,2024,3,1,March,3,1.73,0.58,2.31,169.0,2.7,0.3,4.0,2.37,108.0,Very Large (100+),Low (<5%),1,1,1,0
HC-679,2024-04-29,Human Resources,175,4,1,0.0057,2024,4,2,April,3,1.71,0.57,2.29,172.0,4.0,0.7,2.0,1.16,108.0,Very Large (100+),Low (<5%),1,1,1,0
HC-688,2024-05-30,Human Resources,177,2,0,0.0,2024,5,2,May,2,1.13,0.0,1.13,175.0,3.3,0.7,2.0,1.14,108.0,Very Large (100+),,1,0,1,0
HC-697,2024-06-29,Human Resources,179,2,0,0.0,2024,6,2,June,2,1.12,0.0,1.12,177.0,2.7,0.3,2.0,1.13,108.0,Very Large (100+),,1,0,1,0
HC-706,2024-07-30,Human Resources,183,4,0,0.0,2024,7,3,July,4,2.19,0.0,2.19,180.0,2.7,0.0,4.0,2.23,108.0,Very Large (100+),,1,0,1,0
HC-715,2024-08-30,Human Resources,183,0,0,0.0,2024,8,3,August,0,0.0,0.0,0.0,182.0,2.0,0.0,0.0,0.0,108.0,Very Large (100+),,0,0,0,0
HC-724,2024-09-29,Human Resources,185,2,0,0.0,2024,9,3,September,2,1.08,0.0,1.08,184.0,2.0,0.0,2.0,1.09,108.0,Very Large (100+),,1,0,1,0
HC-733,2024-10-30,Human Resources,189,4,0,0.0,2024,10,4,October,4,2.12,0.0,2.12,186.0,2.0,0.0,4.0,2.16,108.0,Very Large (100+),,1,0,1,0
HC-742,2024-11-29,Human Resources,193,4,0,0.0,2024,11,4,November,4,2.07,0.0,2.07,189.0,3.3,0.0,4.0,2.12,108.0,Very Large (100+),,1,0,1,0
HC-751,2024-12-30,Human Resources,194,2,1,0.0052,2024,12,4,December,1,0.52,0.52,1.03,192.0,3.3,0.3,1.0,0.52,108.0,Very Large (100+),Low (<5%),1,1,1,0
HC-760,2025-01-30,Human Resources,193,0,1,0.0052,2025,1,1,January,-1,-0.52,0.52,0.0,193.0,2.0,0.7,-1.0,-0.52,108.0,Very Large (100+),Low (<5%),0,1,0,1
HC-769,2025-02-27,Human Resources,194,2,1,0.0052,2025,2,1,February,1,0.52,0.52,1.03,194.0,1.3,1.0,1.0,0.52,108.0,Very Large (100+),Low (<5%),1,1,1,0
HC-778,2025-03-30,Human Resources,194,2,2,0.0103,2025,3,1,March,0,0.0,1.03,1.03,194.0,1.3,1.3,0.0,0.0,108.0,Very Large (100+),Low (<5%),1,1,0,0
HC-787,2025-04-29,Human Resources,200,6,0,0.0,2025,4,2,April,6,3.0,0.0,3.0,196.0,3.3,1.0,6.0,3.09,108.0,Very Large (100+),,1,0,1,0
HC-796,2025-05-30,Human Resources,201,1,0,0.0,2025,5,2,May,1,0.5,0.0,0.5,198.0,3.0,0.7,1.0,0.5,108.0,Very Large (100+),,1,0,1,0
HC-805,2025-06-29,Human Resources,202,1,0,0.0,2025,6,2,June,1,0.5,0.0,0.5,201.0,2.7,0.0,1.0,0.5,108.0,Very Large (100+),,1,0,1,0
HC-814,2025-07-30,Human Resources,203,1,0,0.0,2025,7,3,July,1,0.49,0.0,0.49,202.0,1.0,0.0,1.0,0.5,108.0,Very Large (100+),,1,0,1,0
HC-823,2025-08-30,Human Resources,204,2,1,0.0049,2025,8,3,August,1,0.49,0.49,0.98,203.0,1.3,0.3,1.0,0.49,108.0,Very Large (100+),Low (<5%),1,1,1,0
HC-832,2025-09-29,Human Resources,206,2,0,0.0,2025,9,3,September,2,0.97,0.0,0.97,204.0,1.7,0.3,2.0,0.98,108.0,Very Large (100+),,1,0,1,0
HC-841,2025-10-30,Human Resources,209,3,0,0.0,2025,10,4,October,3,1.44,0.0,1.44,206.0,2.3,0.3,3.0,1.46,108.0,Very Large (100+),,1,0,1,0
HC-6,2018-01-30,It Support,4,4,0,0.0,2018,1,1,January,4,100.0,0.0,100.0,4.0,4.0,0.0,,,105.0,Small (<20),,1,0,1,0
HC-15,2018-02-27,It Support,5,1,0,0.0,2018,2,1,February,1,20.0,0.0,20.0,4.0,2.5,0.0,1.0,25.0,105.0,Small (<20),,1,0,1,0
HC-24,2018-03-30,It Support,8,3,0,0.0,2018,3,1,March,3,37.5,0.0,37.5,6.0,2.7,0.0,3.0,60.0,105.0,Small (<20),,1,0,1,0
HC-33,2018-04-29,It Support,11,3,0,0.0,2018,4,2,April,3,27.27,0.0,27.27,8.0,2.3,0.0,3.0,37.5,105.0,Small (<20),,1,0,1,0
HC-42,2018-05-30,It Support,13,2,0,0.0,2018,5,2,May,2,15.38,0.0,15.38,11.0,2.7,0.0,2.0,18.18,105.0,Small (<20),,1,0,1,0
HC-51,2018-06-29,It Support,14,1,0,0.0,2018,6,2,June,1,7.14,0.0,7.14,13.0,2.0,0.0,1.0,7.69,105.0,Small (<20),,1,0,1,0
HC-60,2018-07-30,It Support,15,1,0,0.0,2018,7,3,July,1,6.67,0.0,6.67,14.0,1.3,0.0,1.0,7.14,105.0,Small (<20),,1,0,1,0
HC-69,2018-08-30,It Support,15,0,0,0.0,2018,8,3,August,0,0.0,0.0,0.0,15.0,0.7,0.0,0.0,0.0,105.0,Small (<20),,0,0,0,0
HC-78,2018-09-29,It Support,19,4,0,0.0,2018,9,3,September,4,21.05,0.0,21.05,16.0,1.7,0.0,4.0,26.67,105.0,Small (<20),,1,0,1,0
HC-87,2018-10-30,It Support,24,5,0,0.0,2018,10,4,October,5,20.83,0.0,20.83,19.0,3.0,0.0,5.0,26.32,105.0,Medium (20-50),,1,0,1,0
HC-96,2018-11-29,It Support,25,2,0,0.0,2018,11,4,November,2,8.0,0.0,8.0,23.0,3.7,0.0,1.0,4.17,105.0,Medium (20-50),,1,0,1,0
HC-105,2018-12-30,It Support,31,5,0,0.0,2018,12,4,December,5,16.13,0.0,16.13,27.0,4.0,0.0,6.0,24.0,105.0,Medium (20-50),,1,0,1,0
HC-114,2019-01-30,It Support,35,4,0,0.0,2019,1,1,January,4,11.43,0.0,11.43,30.0,3.7,0.0,4.0,12.9,105.0,Medium (20-50),,1,0,1,0
HC-123,2019-02-27,It Support,38,3,0,0.0,2019,2,1,February,3,7.89,0.0,7.89,35.0,4.0,0.0,3.0,8.57,105.0,Medium (20-50),,1,0,1,0
HC-132,2019-03-30,It Support,38,1,1,0.0263,2019,3,1,March,0,0.0,2.63,2.63,37.0,2.7,0.3,0.0,0.0,105.0,Medium (20-50),Low (<5%),1,1,0,0
HC-141,2019-04-29,It Support,42,4,0,0.0,2019,4,2,April,4,9.52,0.0,9.52,39.0,2.7,0.3,4.0,10.53,105.0,Medium (20-50),,1,0,1,0
HC-150,2019-05-30,It Support,42,0,0,0.0,2019,5,2,May,0,0.0,0.0,0.0,41.0,1.7,0.3,0.0,0.0,105.0,Medium (20-50),,0,0,0,0
HC-159,2019-06-29,It Support,45,3,0,0.0,2019,6,2,June,3,6.67,0.0,6.67,43.0,2.3,0.0,3.0,7.14,105.0,Medium (20-50),,1,0,1,0
HC-168,2019-07-30,It Support,47,2,0,0.0,2019,7,3,July,2,4.26,0.0,4.26,45.0,1.7,0.0,2.0,4.44,105.0,Medium (20-50),,1,0,1,0
HC-177,2019-08-30,It Support,50,3,0,0.0,2019,8,3,August,3,6.0,0.0,6.0,47.0,2.7,0.0,3.0,6.38,105.0,Medium (20-50),,1,0,1,0
HC-186,2019-09-29,It Support,50,0,0,0.0,2019,9,3,September,0,0.0,0.0,0.0,49.0,1.7,0.0,0.0,0.0,105.0,Medium (20-50),,0,0,0,0
HC-195,2019-10-30,It Support,51,1,0,0.0,2019,10,4,October,1,1.96,0.0,1.96,50.0,1.3,0.0,1.0,2.0,105.0,Large (50-100),,1,0,1,0
HC-204,2019-11-29,It Support,53,2,0,0.0,2019,11,4,November,2,3.77,0.0,3.77,51.0,1.0,0.0,2.0,3.92,105.0,Large (50-100),,1,0,1,0
HC-213,2019-12-30,It Support,57,4,0,0.0,2019,12,4,December,4,7.02,0.0,7.02,54.0,2.3,0.0,4.0,7.55,105.0,Large (50-100),,1,0,1,0
HC-222,2020-01-30,It Support,59,2,0,0.0,2020,1,1,January,2,3.39,0.0,3.39,56.0,2.7,0.0,2.0,3.51,105.0,Large (50-100),,1,0,1,0
HC-231,2020-02-28,It Support,62,3,0,0.0,2020,2,1,February,3,4.84,0.0,4.84,59.0,3.0,0.0,3.0,5.08,105.0,Large (50-100),,1,0,1,0
HC-240,2020-03-30,It Support,65,3,0,0.0,2020,3,1,March,3,4.62,0.0,4.62,62.0,2.7,0.0,3.0,4.84,105.0,Large (50-100),,1,0,1,0
HC-249,2020-04-29,It Support,68,3,0,0.0,2020,4,2,April,3,4.41,0.0,4.41,65.0,3.0,0.0,3.0,4.62,105.0,Large (50-100),,1,0,1,0
HC-258,2020-05-30,It Support,70,2,0,0.0,2020,5,2,May,2,2.86,0.0,2.86,68.0,2.7,0.0,2.0,2.94,105.0,Large (50-100),,1,0,1,0
HC-267,2020-06-29,It Support,74,4,0,0.0,2020,6,2,June,4,5.41,0.0,5.41,71.0,3.0,0.0,4.0,5.71,105.0,Large (50-100),,1,0,1,0
HC-276,2020-07-30,It Support,76,2,0,0.0,2020,7,3,July,2,2.63,0.0,2.63,73.0,2.7,0.0,2.0,2.7,105.0,Large (50-100),,1,0,1,0
HC-285,2020-08-30,It Support,76,0,0,0.0,2020,8,3,August,0,0.0,0.0,0.0,75.0,2.0,0.0,0.0,0.0,105.0,Large (50-100),,0,0,0,0
HC-294,2020-09-29,It Support,81,5,0,0.0,2020,9,3,September,5,6.17,0.0,6.17,78.0,2.3,0.0,5.0,6.58,105.0,Large (50-100),,1,0,1,0
HC-303,2020-10-30,It Support,83,2,0,0.0,2020,10,4,October,2,2.41,0.0,2.41,80.0,2.3,0.0,2.0,2.47,105.0,Large (50-100),,1,0,1,0
HC-312,2020-11-29,It Support,86,3,0,0.0,2020,11,4,November,3,3.49,0.0,3.49,83.0,3.3,0.0,3.0,3.61,105.0,Large (50-100),,1,0,1,0
HC-321,2020-12-30,It Support,90,4,1,0.0111,2020,12,4,December,3,3.33,1.11,4.44,86.0,3.0,0.3,4.0,4.65,105.0,Large (50-100),Low (<5%),1,1,1,0
HC-330,2021-01-30,It Support,89,0,0,0.0,2021,1,1,January,0,0.0,0.0,0.0,88.0,2.3,0.3,-1.0,-1.11,105.0,Large (50-100),,0,0,0,0
HC-339,2021-02-27,It Support,92,3,0,0.0,2021,2,1,February,3,3.26,0.0,3.26,90.0,2.3,0.3,3.0,3.37,105.0,Large (50-100),,1,0,1,0
HC-348,2021-03-30,It Support,94,2,0,0.0,2021,3,1,March,2,2.13,0.0,2.13,92.0,1.7,0.0,2.0,2.17,105.0,Large (50-100),,1,0,1,0
HC-357,2021-04-29,It Support,94,0,0,0.0,2021,4,2,April,0,0.0,0.0,0.0,93.0,1.7,0.0,0.0,0.0,105.0,Large (50-100),,0,0,0,0
HC-366,2021-05-30,It Support,95,3,1,0.0105,2021,5,2,May,2,2.11,1.05,3.16,94.0,1.7,0.3,1.0,1.06,105.0,Large (50-100),Low (<5%),1,1,1,0
HC-375,2021-06-29,It Support,97,1,0,0.0,2021,6,2,June,1,1.03,0.0,1.03,95.0,1.3,0.3,2.0,2.11,105.0,Large (50-100),,1,0,1,0
HC-384,2021-07-30,It Support,101,4,0,0.0,2021,7,3,July,4,3.96,0.0,3.96,98.0,2.7,0.3,4.0,4.12,105.0,Very Large (100+),,1,0,1,0
HC-393,2021-08-30,It Support,101,0,0,0.0,2021,8,3,August,0,0.0,0.0,0.0,100.0,1.7,0.0,0.0,0.0,105.0,Very Large (100+),,0,0,0,0
HC-402,2021-09-29,It Support,102,1,0,0.0,2021,9,3,September,1,0.98,0.0,0.98,101.0,1.7,0.0,1.0,0.99,105.0,Very Large (100+),,1,0,1,0
HC-411,2021-10-30,It Support,103,1,0,0.0,2021,10,4,October,1,0.97,0.0,0.97,102.0,0.7,0.0,1.0,0.98,105.0,Very Large (100+),,1,0,1,0
HC-420,2021-11-29,It Support,107,5,1,0.0093,2021,11,4,November,4,3.74,0.93,4.67,104.0,2.3,0.3,4.0,3.88,105.0,Very Large (100+),Low (<5%),1,1,1,0
HC-429,2021-12-30,It Support,110,4,0,0.0,2021,12,4,December,4,3.64,0.0,3.64,107.0,3.3,0.3,3.0,2.8,105.0,Very Large (100+),,1,0,1,0
HC-438,2022-01-30,It Support,113,2,0,0.0,2022,1,1,January,2,1.77,0.0,1.77,110.0,3.7,0.3,3.0,2.73,105.0,Very Large (100+),,1,0,1,0
HC-447,2022-02-27,It Support,114,2,1,0.0088,2022,2,1,February,1,0.88,0.88,1.75,112.0,2.7,0.3,1.0,0.88,105.0,Very Large (100+),Low (<5%),1,1,1,0
HC-456,2022-03-30,It Support,118,5,1,0.0085,2022,3,1,March,4,3.39,0.85,4.24,115.0,3.0,0.7,4.0,3.51,105.0,Very Large (100+),Low (<5%),1,1,1,0
HC-465,2022-04-29,It Support,120,2,0,0.0,2022,4,2,April,2,1.67,0.0,1.67,117.0,3.0,0.7,2.0,1.69,105.0,Very Large (100+),,1,0,1,0
HC-474,2022-05-30,It Support,122,2,0,0.0,2022,5,2,May,2,1.64,0.0,1.64,120.0,3.0,0.3,2.0,1.67,105.0,Very Large (100+),,1,0,1,0
HC-483,2022-06-29,It Support,121,0,1,0.0083,2022,6,2,June,-1,-0.83,0.83,0.0,121.0,1.3,0.3,-1.0,-0.82,105.0,Very Large (100+),Low (<5%),0,1,0,1
HC-492,2022-07-30,It Support,126,5,0,0.0,2022,7,3,July,5,3.97,0.0,3.97,123.0,2.3,0.3,5.0,4.13,105.0,Very Large (100+),,1,0,1,0
HC-501,2022-08-30,It Support,128,2,0,0.0,2022,8,3,August,2,1.56,0.0,1.56,125.0,2.3,0.3,2.0,1.59,105.0,Very Large (100+),,1,0,1,0
HC-510,2022-09-29,It Support,131,3,0,0.0,2022,9,3,September,3,2.29,0.0,2.29,128.0,3.3,0.0,3.0,2.34,105.0,Very Large (100+),,1,0,1,0
HC-519,2022-10-30,It Support,132,1,0,0.0,2022,10,4,October,1,0.76,0.0,0.76,130.0,2.0,0.0,1.0,0.76,105.0,Very Large (100+),,1,0,1,0
HC-528,2022-11-29,It Support,134,2,0,0.0,2022,11,4,November,2,1.49,0.0,1.49,132.0,2.0,0.0,2.0,1.52,105.0,Very Large (100+),,1,0,1,0
HC-537,2022-12-30,It Support,133,0,1,0.0075,2022,12,4,December,-1,-0.75,0.75,0.0,133.0,1.0,0.3,-1.0,-0.75,105.0,Very Large (100+),Low (<5%),0,1,0,1
HC-546,2023-01-30,It Support,136,3,0,0.0,2023,1,1,January,3,2.21,0.0,2.21,134.0,1.7,0.3,3.0,2.26,105.0,Very Large (100+),,1,0,1,0
HC-555,2023-02-27,It Support,137,3,2,0.0146,2023,2,1,February,1,0.73,1.46,2.19,135.0,2.0,1.0,1.0,0.74,105.0,Very Large (100+),Low (<5%),1,1,1,0
HC-564,2023-03-30,It Support,136,0,1,0.0074,2023,3,1,March,-1,-0.74,0.74,0.0,136.0,2.0,1.0,-1.0,-0.73,105.0,Very Large (100+),Low (<5%),0,1,0,1
HC-573,2023-04-29,It Support,139,3,0,0.0,2023,4,2,April,3,2.16,0.0,2.16,137.0,2.0,1.0,3.0,2.21,105.0,Very Large (100+),,1,0,1,0
HC-582,2023-05-30,It Support,140,1,0,0.0,2023,5,2,May,1,0.71,0.0,0.71,138.0,1.3,0.3,1.0,0.72,105.0,Very Large (100+),,1,0,1,0
HC-591,2023-06-29,It Support,143,3,0,0.0,2023,6,2,June,3,2.1,0.0,2.1,141.0,2.3,0.0,3.0,2.14,105.0,Very Large (100+),,1,0,1,0
HC-600,2023-07-30,It Support,144,1,0,0.0,2023,7,3,July,1,0.69,0.0,0.69,142.0,1.7,0.0,1.0,0.7,105.0,Very Large (100+),,1,0,1,0
HC-609,2023-08-30,It Support,148,4,0,0.0,2023,8,3,August,4,2.7,0.0,2.7,145.0,2.7,0.0,4.0,2.78,105.0,Very Large (100+),,1,0,1,0
HC-618,2023-09-29,It Support,149,1,1,0.0067,2023,9,3,September,0,0.0,0.67,0.67,147.0,2.0,0.3,1.0,0.68,105.0,Very Large (100+),Low (<5%),1,1,0,0
HC-627,2023-10-30,It Support,150,2,0,0.0,2023,10,4,October,2,1.33,0.0,1.33,149.0,2.3,0.3,1.0,0.67,105.0,Very Large (100+),,1,0,1,0
HC-636,2023-11-29,It Support,152,2,0,0.0,2023,11,4,November,2,1.32,0.0,1.32,150.0,1.7,0.3,2.0,1.33,105.0,Very Large (100+),,1,0,1,0
HC-645,2023-12-30,It Support,155,4,0,0.0,2023,12,4,December,4,2.58,0.0,2.58,152.0,2.7,0.0,3.0,1.97,105.0,Very Large (100+),,1,0,1,0
HC-654,2024-01-30,It Support,155,0,1,0.0065,2024,1,1,January,-1,-0.65,0.65,0.0,154.0,2.0,0.3,0.0,0.0,105.0,Very Large (100+),Low (<5%),0,1,0,1
HC-663,2024-02-28,It Support,157,2,0,0.0,2024,2,1,February,2,1.27,0.0,1.27,156.0,2.0,0.3,2.0,1.29,105.0,Very Large (100+),,1,0,1,0
HC-672,2024-03-30,It Support,157,1,1,0.0064,2024,3,1,March,0,0.0,0.64,0.64,156.0,1.0,0.7,0.0,0.0,105.0,Very Large (100+),Low (<5%),1,1,0,0
HC-681,2024-04-29,It Support,160,3,0,0.0,2024,4,2,April,3,1.88,0.0,1.88,158.0,2.0,0.3,3.0,1.91,105.0,Very Large (100+),,1,0,1,0
HC-690,2024-05-30,It Support,164,4,0,0.0,2024,5,2,May,4,2.44,0.0,2.44,160.0,2.7,0.3,4.0,2.5,105.0,Very Large (100+),,1,0,1,0
HC-699,2024-06-29,It Support,165,1,0,0.0,2024,6,2,June,1,0.61,0.0,0.61,163.0,2.7,0.0,1.0,0.61,105.0,Very Large (100+),,1,0,1,0
HC-708,2024-07-30,It Support,165,0,0,0.0,2024,7,3,July,0,0.0,0.0,0.0,165.0,1.7,0.0,0.0,0.0,105.0,Very Large (100+),,0,0,0,0
HC-717,2024-08-30,It Support,167,3,1,0.006,2024,8,3,August,2,1.2,0.6,1.8,166.0,1.3,0.3,2.0,1.21,105.0,Very Large (100+),Low (<5%),1,1,1,0
HC-726,2024-09-29,It Support,170,4,2,0.0118,2024,9,3,September,2,1.18,1.18,2.35,167.0,2.3,1.0,3.0,1.8,105.0,Very Large (100+),Low (<5%),1,1,1,0
HC-735,2024-10-30,It Support,171,2,0,0.0,2024,10,4,October,2,1.17,0.0,1.17,169.0,3.0,1.0,1.0,0.59,105.0,Very Large (100+),,1,0,1,0
HC-744,2024-11-29,It Support,172,1,0,0.0,2024,11,4,November,1,0.58,0.0,0.58,171.0,2.3,0.7,1.0,0.58,105.0,Very Large (100+),,1,0,1,0
HC-753,2024-12-30,It Support,176,4,0,0.0,2024,12,4,December,4,2.27,0.0,2.27,173.0,2.3,0.0,4.0,2.33,105.0,Very Large (100+),,1,0,1,0
HC-762,2025-01-30,It Support,180,4,0,0.0,2025,1,1,January,4,2.22,0.0,2.22,176.0,3.0,0.0,4.0,2.27,105.0,Very Large (100+),,1,0,1,0
HC-771,2025-02-27,It Support,182,3,1,0.0055,2025,2,1,February,2,1.1,0.55,1.65,179.0,3.7,0.3,2.0,1.11,105.0,Very Large (100+),Low (<5%),1,1,1,0
HC-780,2025-03-30,It Support,184,2,0,0.0,2025,3,1,March,2,1.09,0.0,1.09,182.0,3.0,0.3,2.0,1.1,105.0,Very Large (100+),,1,0,1,0
HC-789,2025-04-29,It Support,185,3,2,0.0108,2025,4,2,April,1,0.54,1.08,1.62,184.0,2.7,1.0,1.0,0.54,105.0,Very Large (100+),Low (<5%),1,1,1,0
HC-798,2025-05-30,It Support,185,2,2,0.0108,2025,5,2,May,0,0.0,1.08,1.08,185.0,2.3,1.3,0.0,0.0,105.0,Very Large (100+),Low (<5%),1,1,0,0
HC-807,2025-06-29,It Support,186,1,0,0.0,2025,6,2,June,1,0.54,0.0,0.54,185.0,2.0,1.3,1.0,0.54,105.0,Very Large (100+),,1,0,1,0
HC-816,2025-07-30,It Support,187,2,0,0.0,2025,7,3,July,2,1.07,0.0,1.07,186.0,1.7,0.7,1.0,0.54,105.0,Very Large (100+),,1,0,1,0
HC-825,2025-08-30,It Support,189,2,1,0.0053,2025,8,3,August,1,0.53,0.53,1.06,187.0,1.7,0.3,2.0,1.07,105.0,Very Large (100+),Low (<5%),1,1,1,0
HC-834,2025-09-29,It Support,189,0,0,0.0,2025,9,3,September,0,0.0,0.0,0.0,188.0,1.3,0.3,0.0,0.0,105.0,Very Large (100+),,0,0,0,0
HC-843,2025-10-30,It Support,189,2,2,0.0106,2025,10,4,October,0,0.0,1.06,1.06,189.0,1.3,1.0,0.0,0.0,105.0,Very Large (100+),Low (<5%),1,1,0,0
HC-8,2018-01-30,Logistics,2,2,0,0.0,2018,1,1,January,2,100.0,0.0,100.0,2.0,2.0,0.0,,,105.0,Small (<20),,1,0,1,0
HC-17,2018-02-27,Logistics,3,1,0,0.0,2018,2,1,February,1,33.33,0.0,33.33,2.0,1.5,0.0,1.0,50.0,105.0,Small (<20),,1,0,1,0
HC-26,2018-03-30,Logistics,4,1,0,0.0,2018,3,1,March,1,25.0,0.0,25.0,3.0,1.3,0.0,1.0,33.33,105.0,Small (<20),,1,0,1,0
HC-35,2018-04-29,Logistics,7,3,0,0.0,2018,4,2,April,3,42.86,0.0,42.86,5.0,1.7,0.0,3.0,75.0,105.0,Small (<20),,1,0,1,0
HC-44,2018-05-30,Logistics,9,2,0,0.0,2018,5,2,May,2,22.22,0.0,22.22,7.0,2.0,0.0,2.0,28.57,105.0,Small (<20),,1,0,1,0
HC-53,2018-06-29,Logistics,11,2,0,0.0,2018,6,2,June,2,18.18,0.0,18.18,9.0,2.3,0.0,2.0,22.22,105.0,Small (<20),,1,0,1,0
HC-62,2018-07-30,Logistics,13,2,0,0.0,2018,7,3,July,2,15.38,0.0,15.38,11.0,2.0,0.0,2.0,18.18,105.0,Small (<20),,1,0,1,0
HC-71,2018-08-30,Logistics,16,3,0,0.0,2018,8,3,August,3,18.75,0.0,18.75,13.0,2.3,0.0,3.0,23.08,105.0,Small (<20),,1,0,1,0
HC-80,2018-09-29,Logistics,17,1,0,0.0,2018,9,3,September,1,5.88,0.0,5.88,15.0,2.0,0.0,1.0,6.25,105.0,Small (<20),,1,0,1,0
HC-89,2018-10-30,Logistics,18,1,0,0.0,2018,10,4,October,1,5.56,0.0,5.56,17.0,1.7,0.0,1.0,5.88,105.0,Small (<20),,1,0,1,0
HC-98,2018-11-29,Logistics,19,1,0,0.0,2018,11,4,November,1,5.26,0.0,5.26,18.0,1.0,0.0,1.0,5.56,105.0,Small (<20),,1,0,1,0
HC-107,2018-12-30,Logistics,20,1,0,0.0,2018,12,4,December,1,5.0,0.0,5.0,19.0,1.0,0.0,1.0,5.26,105.0,Small (<20),,1,0,1,0
HC-116,2019-01-30,Logistics,21,2,0,0.0,2019,1,1,January,2,9.52,0.0,9.52,20.0,1.3,0.0,1.0,5.0,105.0,Medium (20-50),,1,0,1,0
HC-125,2019-02-27,Logistics,22,0,0,0.0,2019,2,1,February,0,0.0,0.0,0.0,21.0,1.0,0.0,1.0,4.76,105.0,Medium (20-50),,0,0,0,0
HC-134,2019-03-30,Logistics,27,5,0,0.0,2019,3,1,March,5,18.52,0.0,18.52,23.0,2.3,0.0,5.0,22.73,105.0,Medium (20-50),,1,0,1,0
HC-143,2019-04-29,Logistics,28,1,0,0.0,2019,4,2,April,1,3.57,0.0,3.57,26.0,2.0,0.0,1.0,3.7,105.0,Medium (20-50),,1,0,1,0
HC-152,2019-05-30,Logistics,30,2,0,0.0,2019,5,2,May,2,6.67,0.0,6.67,28.0,2.7,0.0,2.0,7.14,105.0,Medium (20-50),,1,0,1,0
