LeaveID,EmployeeID,LeaveType,StartDate,EndDate,Days
" LEAVE-2366 ","PNR-1474","Sick Leave","2025-02-26","2025-03-07","10"
"LEAVE-2367","#N/A","Sick Leave","2020-04-07","2020-04-11","5"
"LEAVE-2368","","Personal Leave","2025-07-15","2025-07-16","2"
"LEAVE-2369","PNR-1474","Vacation","2018-08-06","2018-08-10","5"
"LEAVE-2370","PNR-1474","Maternity/Paternity","2025-08-02","2025-08-06","5"
"LEAVE-2371","PNR-1475"," Vacation ","2020-03-24","#N/A","1"
"LEAVE-2372","PNR-1475","Sick Leave","2018-05-05","2018-05-14","10"
"LEAVE-2373","PNR-1475","Sick Leave","2023-07-18","2023-07-22","5"
"LEAVE-2373","PNR-1475","Sick Leave","2023-07-18","2023-07-22","5"
"LEAVE-2375","PNR-1475","Maternity/Paternity","2022-11-05","2022-11-09","5"
"LEAVE-2376","PNR-1476","Personal Leave","2021-12-24","2021-12-26","3"
"LEAVE-2377","PNR-1476","Personal Leave","2021-07-05","2021-07-14","10"
"LEAVE-2378","PNR-1476","Maternity/Paternity","2020-09-15"," 2020-09-17 ","3"
"LEAVE-2379","PNR-1476","Personal Leave","","2018-09-20","5"
"LEAVE-2380","PNR-1476","Personal Leave","2022-07-19","2022-07-21","3"
"LEAVE-2381","PNR-1477"," Personal Leave ","","2023-12-13","10"
"LEAVE-2382","PNR-1477","Personal Leave","2019-05-16","2019-05-18","3"
"LEAVE-2382","PNR-1477","Personal Leave","2019-05-16","2019-05-18","3"
"LEAVE-2384","PNR-1477","Maternity/Paternity","2023-11-28","2023-11-28","1"
"LEAVE-2385","PNR-1477","Maternity/Paternity","2021-10-10","2021-10-19","10"
"LEAVE-2386","PNR-1478","Sick Leave","2021-06-15","2021-06-24","10"
"LEAVE-2387","PNR-1478","Maternity/Paternity","2021-02-14","2021-02-14","1"
"LEAVE-2388","PNR-1478","Vacation","2020-02-10","2020-02-12","3"
"LEAVE-2389"," PNR-1478 ","Personal Leave","2019-06-13","2019-06-13","1"
"LEAVE-2390","PNR-1478","Maternity/Paternity","2022-06-01","2022-06-03","3"
"LEAVE-2391","PNR-1479","Personal Leave"," 2023-01-10 ","2023-01-11","2"
"LEAVE-2391","PNR-1479","Personal Leave","2023-01-10","2023-01-11","2"
"LEAVE-2393","PNR-1479","Sick Leave","","2021-10-13","3"
"LEAVE-2394","PNR-1479","Vacation","2020-08-27","2020-08-29","3"
"LEAVE-2395","PNR-1479","Maternity/Paternity","2022-11-09","2022-11-09","1"
"LEAVE-2396","PNR-1480","Sick Leave","2024-10-25","2024-10-25","1"
"LEAVE-2397","PNR-1480","Maternity/Paternity","","2023-01-10","1"
"LEAVE-2398","PNR-1480","Sick Leave","2025-01-09","","5"
"LEAVE-2399","PNR-1480","Vacation","2021-05-17","2021-05-18","2"
"LEAVE-2400","PNR-1480","Sick Leave","2021-11-22","2021-12-01","10"
"LEAVE-2401","PNR-1481","Maternity/Paternity","2022-03-03","2022-03-07","5"
"LEAVE-2401","PNR-1481","Maternity/Paternity","2022-03-03","2022-03-07","5"
" LEAVE-2403 ","PNR-1481","Vacation","2023-07-01","2023-07-02","2"
"LEAVE-2404","PNR-1481","Personal Leave","2018-12-03","2018-12-07","5"
"LEAVE-2405","PNR-1481","Maternity/Paternity","2023-11-23"," 2023-11-23 ","1"
"LEAVE-2406","PNR-1482"," Personal Leave ","2025-10-19","2025-10-28","10"
"LEAVE-2407","PNR-1482","Maternity/Paternity","2023-09-03","2023-09-07","5"
"LEAVE-2408","PNR-1482","Maternity/Paternity","2023-11-19","2023-11-28",""
"LEAVE-2409","PNR-1482","Vacation","2023-11-29","2023-12-01","3"
"LEAVE-2410","PNR-1482","Vacation","2021-10-30","2021-11-03","5"
"LEAVE-2411","PNR-1483","Maternity/Paternity","2021-02-23","2021-02-25","3"
"LEAVE-2412","PNR-1483","Personal Leave","2018-07-12","2018-07-12","1"
"LEAVE-2413","PNR-1483","Maternity/Paternity","#N/A","2022-06-22","1"
"LEAVE-2414","PNR-1483","Sick Leave","2024-08-23","2024-08-24","2"
"LEAVE-2415","","Personal Leave","2025-09-05","2025-09-14","10"
"LEAVE-2416","PNR-1484","Sick Leave","2023-09-25","2023-09-29","5"
"LEAVE-2417","PNR-1484","#N/A","2020-06-26","2020-07-05","10"
"LEAVE-2418","PNR-1484","Sick Leave","2023-10-28","2023-10-30","3"
"LEAVE-2419","PNR-1484","Personal Leave","2020-09-17","2020-09-18","2"
"LEAVE-2420","","Personal Leave","2024-01-11","","10"
"LEAVE-2421","PNR-1485","Maternity/Paternity","2022-11-25","2022-11-26","2"
"LEAVE-2422","PNR-1485","Sick Leave","2019-08-02","2019-08-04","3"
"#N/A","PNR-1485","Sick Leave","2020-11-25","2020-11-27","3"
"LEAVE-2424","PNR-1485","Maternity/Paternity","2019-09-10"," 2019-09-10 ","1"
"LEAVE-2425","PNR-1485","Maternity/Paternity","2019-06-11","2019-06-20","10"
"LEAVE-2426","PNR-1486","#N/A","2023-01-23","2023-01-27","5"
"LEAVE-2427","PNR-1486","Maternity/Paternity","2025-02-17","2025-02-17","1"
"LEAVE-2428","#N/A","","2021-08-27","2021-08-27","1"
"LEAVE-2429","PNR-1486","Personal Leave","2024-02-04"," 2024-02-06 ","3"
"LEAVE-2430","PNR-1486","Personal Leave","2025-01-29","2025-02-07","10"
"LEAVE-2431","PNR-1487","Vacation","2023-12-17","2023-12-19","3"
"LEAVE-2432","PNR-1487","Maternity/Paternity","2024-02-15","2024-02-16","2"
"LEAVE-2433","#N/A","Sick Leave","2021-01-24","2021-01-25","2"
"LEAVE-2434"," PNR-1487 ","Sick Leave","2023-08-17","2023-08-21","5"
"LEAVE-2435","PNR-1487","Maternity/Paternity","2018-02-25","2018-03-01","5"
"LEAVE-2435","PNR-1487","Maternity/Paternity","2018-02-25","2018-03-01","5"
"LEAVE-2436","PNR-1488","Sick Leave","2024-06-11","2024-06-11","1"
"LEAVE-2438","PNR-1488","Sick Leave","2023-07-15","2023-07-16","2"
"LEAVE-2439","","Vacation","2019-03-25","2019-03-25","1"
"LEAVE-2440","PNR-1488","Personal Leave","2021-10-01","2021-10-02","2"
"LEAVE-2441","PNR-1489","Personal Leave","2021-03-20","2021-03-24","5"
"LEAVE-2442","PNR-1489"," Vacation ","2018-10-15","2018-10-15","1"
"LEAVE-2443","","Maternity/Paternity","2018-05-29"," 2018-06-07 ","10"
"LEAVE-2444","PNR-1489","Sick Leave","2025-01-22","2025-01-26","5"
"LEAVE-2445","PNR-1489","Personal Leave","2020-10-27","2020-10-27","1"
"LEAVE-2446","PNR-1490","Sick Leave","2020-04-18"," 2020-04-18 ","1"
"LEAVE-2447","PNR-1490","Personal Leave","2020-01-17","2020-01-17","1"
"LEAVE-2448","","Personal Leave","2019-06-20","2019-06-29","10"
"LEAVE-2449","PNR-1490"," Vacation ","2018-11-16","2018-11-16","1"
"LEAVE-2450","PNR-1490","Sick Leave","2024-02-27"," 2024-03-07 ","10"
"","PNR-1491","Personal Leave","2024-02-01","2024-02-10","10"
"LEAVE-2452","PNR-1491"," Vacation ","2025-02-18","2025-02-22","5"
"LEAVE-2452","PNR-1491","Vacation","2025-02-18","2025-02-22","5"
"LEAVE-2454","PNR-1491","Vacation","2022-10-17","2022-10-19","3"
"LEAVE-2455","PNR-1491","Personal Leave","2025-07-14","2025-07-15","2"
"LEAVE-2456","PNR-1492","Maternity/Paternity","2019-08-04","2019-08-05","2"
"LEAVE-2457","PNR-1492","Maternity/Paternity","2018-11-10","2018-11-14",""
"LEAVE-2458","PNR-1492","Sick Leave","2019-05-11","2019-05-11","1"
"LEAVE-2459","PNR-1492","Vacation","2023-02-09","2023-02-11","3"
" LEAVE-2460 ","PNR-1492","Maternity/Paternity","2023-05-19","2023-05-19","1"
"LEAVE-2461",""," Maternity/Paternity ","2019-02-20","2019-02-24","5"
"LEAVE-2462","PNR-1493","Maternity/Paternity","2018-08-25","2018-08-29","5"
"LEAVE-2463","PNR-1493","Vacation","2025-06-01","2025-06-03","3"
"LEAVE-2463","PNR-1493","Vacation","2025-06-01","2025-06-03","3"
"LEAVE-2465","PNR-1493","Personal Leave"," 2024-11-22 ","2024-11-23","2"
"LEAVE-2465","PNR-1493","Personal Leave","2024-11-22","2024-11-23","2"
"LEAVE-2467","PNR-1494","","2021-11-19","2021-11-23","5"
"LEAVE-2468","PNR-1494","Maternity/Paternity","2024-12-25","2024-12-25","1"
"LEAVE-2468","PNR-1494","Maternity/Paternity","2024-12-25","2024-12-25","1"
"LEAVE-2470","PNR-1494","Vacation","2018-12-24","2019-01-02","10"
"LEAVE-2471","PNR-1495","","2018-02-12","2018-02-16","5"
"LEAVE-2472","PNR-1495","Maternity/Paternity","2019-04-19","2019-04-19","1"
"LEAVE-2473","PNR-1495","Vacation","2025-06-24","2025-06-26","3"
"LEAVE-2474","PNR-1495","Personal Leave"," 2018-04-26 ","2018-04-28","3"
"LEAVE-2475","PNR-1495","Personal Leave","2022-07-13","2022-07-13","1"
"LEAVE-2476","PNR-1496","Maternity/Paternity","2018-08-15","2018-08-17","3"
"LEAVE-2477"," PNR-1496 ","Vacation","","2021-10-21","3"
"LEAVE-2478","PNR-1496","Vacation","2023-06-21","2023-06-21","1"
" LEAVE-2479 ","PNR-1496","Personal Leave","2019-10-29","2019-10-31","3"
"LEAVE-2480","","Personal Leave","2022-09-16"," 2022-09-16 ","1"
"LEAVE-2481","PNR-1497"," Vacation ","2023-02-15","2023-02-24","10"
"LEAVE-2481","PNR-1497","Vacation","2023-02-15","2023-02-24","10"
"LEAVE-2483","PNR-1497","Sick Leave","2024-05-14","2024-05-16","3"
"LEAVE-2483","PNR-1497","Sick Leave","2024-05-14","2024-05-16","3"
"LEAVE-2485","PNR-1497","Sick Leave","2023-10-06","2023-10-07","2"
"LEAVE-2486","PNR-1498","Personal Leave","2025-09-04"," 2025-09-06 ","3"
"LEAVE-2487","#N/A","Personal Leave","2022-12-08","2022-12-09","2"
"LEAVE-2487","PNR-1498","Personal Leave","2022-12-08","2022-12-09","2"
"LEAVE-2489","PNR-1498","Personal Leave","2025-03-23","2025-03-23","1"
"LEAVE-2490","PNR-1498","Sick Leave","2019-06-21","2019-06-23","3"
"LEAVE-2490","PNR-1498","Sick Leave","2019-06-21","2019-06-23","3"
"LEAVE-2492","PNR-1499","Sick Leave","2025-05-03","2025-05-05","3"
"LEAVE-2493","PNR-1499","Vacation","","2023-09-06","5"
"LEAVE-2494","PNR-1499","Maternity/Paternity","2021-11-07","#N/A","2"
"LEAVE-2494","PNR-1499","Maternity/Paternity","2021-11-07","2021-11-08","2"
"LEAVE-2496","PNR-1500","Maternity/Paternity","2023-03-17","2023-03-17","1"
"LEAVE-2497","PNR-1500","Sick Leave","2020-01-03","2020-01-12","10"
"LEAVE-2498","PNR-1500","","2022-09-23","2022-10-02","10"
"LEAVE-2499","PNR-1500","Sick Leave","2021-12-28","2021-12-28","1"
"LEAVE-2500","PNR-1500","Vacation","","2024-01-05","1"
"LEAVE-2501","PNR-1501","Personal Leave","2019-11-11","2019-11-12","2"
"LEAVE-2502","PNR-1501","Sick Leave","2021-08-15","2021-08-17","3"
"LEAVE-2503","PNR-1501","Personal Leave","#N/A","2025-06-14","1"
"LEAVE-2504","PNR-1501","Sick Leave","2025-05-10","2025-05-14","5"
"LEAVE-2505"," PNR-1501 "," Maternity/Paternity ","2018-12-09","2018-12-11","3"
"LEAVE-2506","PNR-1502","Maternity/Paternity","2023-07-28","2023-07-29","2"
"LEAVE-2507","PNR-1502","Vacation","2024-03-18","2024-03-22","5"
"LEAVE-2508","PNR-1502","Maternity/Paternity","2025-10-07","2025-10-16","10"
"LEAVE-2509","PNR-1502","","2020-11-11","2020-11-20","10"
"LEAVE-2510"," PNR-1502 ","Personal Leave","2021-11-20","2021-11-21","2"
"LEAVE-2511","PNR-1503","Personal Leave","2020-12-24","2020-12-24","1"
"","PNR-1503","Sick Leave","2019-10-10","2019-10-11","2"
"LEAVE-2513","PNR-1503"," Sick Leave ","2019-06-07","2019-06-08","2"
"LEAVE-2514","PNR-1503","Maternity/Paternity","2024-01-24","2024-01-28","5"
"LEAVE-2515","PNR-1503","#N/A","2023-04-24","2023-04-28","5"
"LEAVE-2516","PNR-1504","Vacation","2022-08-26"," 2022-09-04 ","10"
"LEAVE-2517","PNR-1504","Vacation"," 2021-08-10 ","2021-08-19","10"
"LEAVE-2518","PNR-1504","Vacation","2018-12-10","2018-12-14","5"
"LEAVE-2519","PNR-1504","Vacation","2023-10-30","2023-11-03","5"
"LEAVE-2520","PNR-1504","Vacation","2024-11-27","2024-11-29","3"
"LEAVE-2521","PNR-1505","Sick Leave","2018-12-05","2018-12-06","2"
"LEAVE-2521","PNR-1505","Sick Leave","2018-12-05","2018-12-06","2"
" LEAVE-2523 ","PNR-1505","Vacation","2024-08-11","2024-08-11","1"
"LEAVE-2524","PNR-1505","Vacation","2023-06-30","2023-07-01","2"
"LEAVE-2525","PNR-1505","Maternity/Paternity","2023-11-18","2023-11-22","5"
"LEAVE-2526","PNR-1506","Personal Leave","2018-05-27","2018-05-28","2"
"LEAVE-2527","PNR-1506","#N/A","2021-10-29","2021-11-02","5"
"LEAVE-2528","PNR-1506","Maternity/Paternity","2018-02-21","2018-02-23","3"
"LEAVE-2528","PNR-1506","Maternity/Paternity","2018-02-21","2018-02-23","3"
"LEAVE-2530","PNR-1506","Maternity/Paternity","2022-06-19","2022-06-19","1"
"LEAVE-2531","PNR-1507","Personal Leave","2019-08-14","2019-08-23","10"
"LEAVE-2532","PNR-1507","Maternity/Paternity","2018-08-17","2018-08-19","3"
"LEAVE-2533","PNR-1507","Personal Leave","2023-10-27","2023-10-29","3"
"LEAVE-2534","PNR-1507"," Maternity/Paternity ","2020-07-24","2020-08-02","10"
"LEAVE-2535","PNR-1507","Personal Leave","2022-01-06","2022-01-10","5"
"LEAVE-2536"," PNR-1508 ","Vacation","2024-04-12","2024-04-13","2"
"LEAVE-2537","PNR-1508","Sick Leave","2019-05-18","","5"
"LEAVE-2538","PNR-1508","Maternity/Paternity","2022-08-09","2022-08-09","1"
"LEAVE-2539","PNR-1508","Maternity/Paternity","2022-05-22","2022-05-24","3"
"LEAVE-2540","","Personal Leave","","2019-02-23","10"
"LEAVE-2541","PNR-1509","#N/A","2018-05-25","2018-05-27","3"
"LEAVE-2542"," PNR-1509 ","Sick Leave","2019-02-27","2019-03-03","5"
"LEAVE-2543","PNR-1509"," Vacation ","2021-06-29","2021-07-01","3"
"LEAVE-2544","PNR-1509","Maternity/Paternity","2022-03-21","2022-03-25","5"
"LEAVE-2545","PNR-1509"," Vacation ","2020-02-22","2020-02-22","1"
"LEAVE-2546","PNR-1510","Maternity/Paternity","","2025-09-07","5"
"LEAVE-2547","PNR-1510","Maternity/Paternity","2019-04-23","2019-04-24","2"
"LEAVE-2548","PNR-1510","Vacation","2022-09-29","2022-10-08","10"
"LEAVE-2549"," PNR-1510 ","Vacation","2024-04-29","2024-05-01","3"
"LEAVE-2550","PNR-1510","Maternity/Paternity","2024-12-27","2025-01-05","10"
"LEAVE-2551","#N/A","Personal Leave","2024-09-14","2024-09-23","10"
"LEAVE-2551","PNR-1511","Personal Leave","2024-09-14","2024-09-23","10"
"LEAVE-2553","PNR-1511","Maternity/Paternity","","2023-06-10","3"
"LEAVE-2554","PNR-1511","Vacation","#N/A","2023-03-31","1"
"LEAVE-2554","PNR-1511","Vacation","2023-03-31","2023-03-31","1"
"LEAVE-2556","PNR-1512","Maternity/Paternity","2020-02-01","2020-02-03","3"
"LEAVE-2557","PNR-1512","Sick Leave","2020-02-27","2020-02-27","1"
"LEAVE-2557","PNR-1512","Sick Leave","2020-02-27","2020-02-27","1"
"LEAVE-2559","PNR-1512","Personal Leave","2024-12-17","2024-12-26","10"
" LEAVE-2560 ","PNR-1512","Vacation","2025-04-04","","3"
"LEAVE-2561","PNR-1513","Vacation"," 2018-05-23 ","2018-05-27","5"
"LEAVE-2562","PNR-1513","Personal Leave","2023-03-12","2023-03-21","10"
"LEAVE-2563","PNR-1513","Vacation"," 2022-11-22 ","2022-11-24","3"
"LEAVE-2564","PNR-1513","Sick Leave","2020-06-28","2020-07-02","5"
"LEAVE-2565","PNR-1513","Vacation"," 2020-09-15 ","2020-09-15","1"
"LEAVE-2566","PNR-1514","","2021-05-27","2021-05-29","3"
"LEAVE-2567","PNR-1514","Sick Leave","2018-04-06","2018-04-10","5"
"LEAVE-2568","PNR-1514","Sick Leave","2024-09-26","2024-09-28","3"
"LEAVE-2569","PNR-1514","Maternity/Paternity","2018-08-08","#N/A","2"
"LEAVE-2570","PNR-1514","Personal Leave","2020-11-11","2020-11-20","10"
"LEAVE-2571","PNR-1515","Vacation","2020-12-16","2020-12-20","5"
"LEAVE-2572","PNR-1515","Sick Leave","2019-07-05","2019-07-05","1"
"","PNR-1515","#N/A","2021-09-10","2021-09-19","10"
"LEAVE-2574","PNR-1515","Sick Leave","2021-12-14","2021-12-23","10"
"LEAVE-2575"," PNR-1515 ","","2023-02-02","2023-02-04","3"
"LEAVE-2576","PNR-1516","Vacation","2025-01-26","2025-01-30","5"
"LEAVE-2577","PNR-1516","Maternity/Paternity","2019-05-06","2019-05-07","2"
"LEAVE-2578","PNR-1516","Maternity/Paternity","2019-10-08","2019-10-12","5"
"","PNR-1516","Personal Leave","2020-11-22","2020-12-01","10"
"LEAVE-2579","PNR-1516","Personal Leave","2020-11-22","2020-12-01","10"
" LEAVE-2581 ","PNR-1517","Maternity/Paternity","2022-09-02","2022-09-11","10"
"LEAVE-2582","PNR-1517","Vacation"," 2020-06-09 ","2020-06-13","5"
"LEAVE-2583"," PNR-1517 ","Sick Leave","2019-10-06","2019-10-07","2"
"LEAVE-2584","PNR-1517","Maternity/Paternity","2020-10-14","2020-10-16",""
"LEAVE-2585","PNR-1517","Maternity/Paternity","2020-01-21","2020-01-23","3"
"LEAVE-2586","PNR-1518","Personal Leave","2020-07-02","2020-07-02","1"
"LEAVE-2587","PNR-1518","Personal Leave","2021-09-21","2021-09-30",""
"LEAVE-2588"," PNR-1518 "," Personal Leave ","2019-04-23","2019-04-24",""
"LEAVE-2588","PNR-1518","Personal Leave","2019-04-23","2019-04-24","2"
"LEAVE-2590"," PNR-1518 ","Sick Leave","2023-08-29","2023-08-29","1"
"LEAVE-2591","PNR-1519","","2023-05-05","2023-05-07","3"
"LEAVE-2592","PNR-1519","Personal Leave","2024-05-03","2024-05-12","10"
"LEAVE-2593","PNR-1519","Sick Leave","2023-07-01","2023-07-01","1"
"LEAVE-2594"," PNR-1519 ","Maternity/Paternity","2018-12-16","2018-12-18","3"
"LEAVE-2595","PNR-1519","Sick Leave","2022-05-30","2022-06-01","3"
"LEAVE-2596","PNR-1520","#N/A","2024-06-12","2024-06-21","10"
"LEAVE-2597","PNR-1520","Vacation","2025-05-30","2025-05-31","2"
"LEAVE-2598","PNR-1520","Personal Leave","2023-06-22","2023-06-23","2"
"LEAVE-2599","PNR-1520","Sick Leave","2021-09-11","2021-09-11","1"
"LEAVE-2600","PNR-1520","Vacation","2023-10-06","2023-10-10","5"
"LEAVE-2601","PNR-1521","Vacation","2024-04-17","","3"
"LEAVE-2602","PNR-1521","Personal Leave","2021-09-24","2021-09-26","3"
"LEAVE-2603","PNR-1521","Personal Leave","2020-04-28","2020-05-07","10"
"LEAVE-2604","","Personal Leave","2018-08-25","2018-08-25","1"
"LEAVE-2605","PNR-1521","Personal Leave","2021-10-24","2021-10-28","5"
"LEAVE-2606","PNR-1522","Maternity/Paternity"," 2019-02-05 ","2019-02-05","1"
"LEAVE-2607","PNR-1522","Vacation","2024-07-22","2024-07-23","2"
"LEAVE-2608","PNR-1522","Vacation","2021-06-21","2021-06-25","5"
"LEAVE-2609","PNR-1522","Sick Leave","2018-06-02","2018-06-03","2"
"LEAVE-2610","PNR-1522","Sick Leave","2023-07-16","2023-07-25","10"
"LEAVE-2611","PNR-1523","Personal Leave","2019-04-15","2019-04-19","5"
"LEAVE-2612","PNR-1523","Sick Leave","2021-07-27","2021-07-29","3"
"LEAVE-2613","PNR-1523","","2024-07-08","2024-07-09","2"
"LEAVE-2614","PNR-1523","Sick Leave","2022-01-18","2022-01-20","3"
"LEAVE-2615","PNR-1523","Sick Leave","2018-05-16","2018-05-18","3"
"LEAVE-2616","PNR-1524","Vacation","2018-05-18","2018-05-19","2"
"LEAVE-2617","PNR-1524"," Sick Leave ","2018-06-01","2018-06-01","1"
"LEAVE-2618","PNR-1524","Sick Leave","2020-01-13","2020-01-17","5"
"LEAVE-2619","PNR-1524","Vacation","2020-04-02","2020-04-02","1"
"LEAVE-2620","PNR-1524","Maternity/Paternity","2024-11-13","2024-11-15","3"
"LEAVE-2621","PNR-1525","Vacation"," 2024-10-02 ","2024-10-02","1"
"LEAVE-2622","PNR-1525","Vacation","2023-07-05","2023-07-07","3"
"LEAVE-2623","PNR-1525","Personal Leave","2023-05-30","2023-06-08","10"
"LEAVE-2624","PNR-1525","Personal Leave","2020-02-03","2020-02-07","5"
"LEAVE-2625","PNR-1525"," Vacation ","2019-12-07","2019-12-09","3"
"LEAVE-2625","PNR-1525","Vacation","2019-12-07","2019-12-09","3"
"LEAVE-2626","PNR-1526","Maternity/Paternity","2020-08-02","2020-08-03","2"
"LEAVE-2628","PNR-1526","Personal Leave","2018-01-02","2018-01-11","10"
"LEAVE-2629","PNR-1526","Maternity/Paternity","2023-10-02","2023-10-04","3"
"LEAVE-2630","PNR-1526","Personal Leave","2018-11-23","2018-11-24","2"
"","PNR-1527","Vacation","2024-06-27","2024-07-06","10"
"LEAVE-2632","PNR-1527","Vacation","2024-05-22","2024-05-22","1"
"LEAVE-2632","PNR-1527","Vacation","2024-05-22","2024-05-22","1"
"LEAVE-2634","PNR-1527","Maternity/Paternity","2018-09-28","2018-10-07","10"
"LEAVE-2634","PNR-1527","Maternity/Paternity","2018-09-28","2018-10-07","10"
"LEAVE-2636","PNR-1528","Vacation","2020-05-17","2020-05-21","5"
"LEAVE-2637","PNR-1528","Maternity/Paternity","2021-11-25","2021-11-26","2"
"LEAVE-2638","PNR-1528"," Sick Leave ","2025-01-24","","5"
"LEAVE-2639","PNR-1528","","2021-05-21","2021-05-22","2"
"LEAVE-2640","PNR-1528","Maternity/Paternity","2023-11-18","2023-11-19","2"
"LEAVE-2641","PNR-1529","Maternity/Paternity","2019-02-09","2019-02-11","3"
"LEAVE-2642","PNR-1529","Maternity/Paternity","2020-10-23","2020-10-25","3"
"LEAVE-2643","PNR-1529","Sick Leave","2023-01-07","2023-01-07","1"
"LEAVE-2644","PNR-1529","Vacation","2025-02-07","2025-02-08","2"
"LEAVE-2645","PNR-1529","Maternity/Paternity","2023-12-23","2023-12-27","5"
" LEAVE-2646 "," PNR-1530 ","Vacation","2023-09-01","2023-09-03","3"
"LEAVE-2647","PNR-1530","Maternity/Paternity","2020-02-10","2020-02-10","1"
"LEAVE-2648","PNR-1530","Vacation","2024-05-15","2024-05-17","3"
"LEAVE-2649","PNR-1530","Vacation","2020-07-27","2020-07-29","3"
"LEAVE-2650","PNR-1530","Vacation","2023-07-06","2023-07-07","2"
"LEAVE-2651","PNR-1531","Maternity/Paternity","2018-08-02","2018-08-04","3"
"LEAVE-2652","PNR-1531","Personal Leave","2021-03-09","2021-03-18","10"
"LEAVE-2653","PNR-1531","Personal Leave","2018-04-30","2018-05-04","5"
"LEAVE-2654","PNR-1531","Sick Leave","2019-05-31","2019-06-02","3"
"LEAVE-2655","PNR-1531","Maternity/Paternity","2025-03-16","2025-03-16","1"
"LEAVE-2656","PNR-1532","Vacation","2025-02-18","2025-02-20","3"
"LEAVE-2657","PNR-1532","Personal Leave","2019-03-03","2019-03-03","1"
"LEAVE-2658","PNR-1532","Personal Leave","2019-12-01","2019-12-03","3"
"LEAVE-2659","PNR-1532","Sick Leave","2022-04-05","2022-04-07","3"
"LEAVE-2660","PNR-1532","Maternity/Paternity","2025-06-05","2025-06-05","1"
" LEAVE-2661 ","PNR-1533","Vacation","2025-05-30","2025-06-08","10"
"LEAVE-2662","PNR-1533","Personal Leave","2019-07-26","2019-07-28","3"
"LEAVE-2663","PNR-1533","Sick Leave","2023-02-03","#N/A","3"
"LEAVE-2664","PNR-1533","","2023-01-27","2023-01-29","3"
"LEAVE-2665","PNR-1533","Sick Leave","2018-09-29","2018-10-03","5"
"LEAVE-2666"," PNR-1534 ","#N/A","2022-05-08","2022-05-10","3"
"LEAVE-2667"," PNR-1534 ","Maternity/Paternity","2025-05-24","2025-06-02","10"
"LEAVE-2668","PNR-1534","Vacation","2022-03-21","2022-03-21","1"
"LEAVE-2669","PNR-1534","Vacation","2020-03-24","2020-03-26","3"
"LEAVE-2670","PNR-1534","Vacation"," 2018-10-07 "," 2018-10-08 ","2"
"LEAVE-2671"," PNR-1535 ","Sick Leave","2022-08-09","2022-08-11","3"
"LEAVE-2672","PNR-1535"," Sick Leave ","2021-08-22","2021-08-22","1"
"LEAVE-2673"," PNR-1535 ","Maternity/Paternity","2021-06-29","2021-06-30","2"
"LEAVE-2674","PNR-1535","Sick Leave","2018-12-08","2018-12-09","2"
"LEAVE-2675","PNR-1535","Maternity/Paternity","2025-02-22","#N/A","2"
"LEAVE-2676","PNR-1536","Personal Leave","2018-03-29","2018-03-30","2"
"LEAVE-2677","#N/A","Vacation","2020-02-16"," 2020-02-18 ","3"
"LEAVE-2678","PNR-1536"," Personal Leave ","2020-10-11","2020-10-15","5"
"LEAVE-2679","PNR-1536","Vacation","2021-11-20","2021-11-20","1"
"LEAVE-2680","PNR-1536","Personal Leave","2025-01-16","2025-01-17","2"
"LEAVE-2681","PNR-1537","Maternity/Paternity","2024-12-23","2024-12-25","3"
"LEAVE-2682"," PNR-1537 ","Vacation","2022-11-24","2022-11-28","5"
"LEAVE-2683","PNR-1537","Vacation","","2020-03-21","5"
"LEAVE-2684","PNR-1537","Sick Leave","2020-05-02","2020-05-06","5"
"LEAVE-2685","PNR-1537","Maternity/Paternity","2024-05-15","2024-05-15","1"
"LEAVE-2686","PNR-1538","Sick Leave","2021-01-05","2021-01-06","2"
"LEAVE-2687","PNR-1538","Sick Leave"," 2022-04-02 ","2022-04-04","3"
"LEAVE-2688","PNR-1538","Vacation","2021-10-15","2021-10-24","10"
"LEAVE-2689","PNR-1538","Personal Leave","2018-08-09"," 2018-08-13 ","5"
"LEAVE-2690","PNR-1538","Personal Leave","2019-08-29","2019-08-29","1"
"LEAVE-2691","PNR-1539","Vacation","2023-08-16","2023-08-20","5"
"LEAVE-2692","PNR-1539","Vacation","2019-01-24","2019-01-25","2"
"LEAVE-2693","PNR-1539","Vacation","2025-08-24","2025-08-26","3"
"LEAVE-2694","PNR-1539","Maternity/Paternity","#N/A","2020-09-24","5"
"LEAVE-2695","PNR-1539","Vacation","2022-04-30","2022-04-30","1"
"LEAVE-2696","PNR-1540","Personal Leave","2025-02-26","2025-02-27","2"
"LEAVE-2697","PNR-1540","Maternity/Paternity","2019-12-24","2019-12-28","5"
"LEAVE-2698","PNR-1540","Vacation","2018-08-07","2018-08-08","2"
"LEAVE-2699","PNR-1540","Vacation"," 2021-04-08 ","2021-04-09","2"
"LEAVE-2700","PNR-1540","Sick Leave","2022-01-16","2022-01-25","10"
"LEAVE-2701"," PNR-1541 ","","2024-12-03","2024-12-03","1"
"LEAVE-2702","PNR-1541","Personal Leave","2022-05-04","2022-05-13","10"
"LEAVE-2703","PNR-1541","","2021-08-11","2021-08-15","5"
"LEAVE-2704","PNR-1541","Sick Leave","2021-12-31","2022-01-01",""
"LEAVE-2705","PNR-1541","Personal Leave","2019-02-14","2019-02-23","10"
"#N/A","PNR-1542","Vacation","2025-04-03","2025-04-04","2"
